clave_propuesta,archivo,linea,tipo,texto_original,texto_con_marcadores,tiene_interpolacion,duplicado_de_n_sitios
batch-media-info-view.se-aplica-canciones-seleccionadas,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,198,Text,Se aplica a las \(items.count) canciones seleccionadas.,Se aplica a las %lld canciones seleccionadas.,sí,
batch-media-info-view.se-editan-cancion-usa-cambiar-nombre,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,222,Text,"Se editan de a una canción -- usa ""Cambiar nombre..."" o ""Más información..."" sobre un solo elemento.","Se editan de a una canción -- usa ""Cambiar nombre..."" o ""Más información..."" sobre un solo elemento.",no,
batch-media-info-view.vas-editar-canciones-vez-campos-que,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,84,Text,"Vas a editar \(count) canciones a la vez. Los campos que no coincidan entre todas se muestran como ""Mixto"" -- lo que escribas se aplica a las \(count). El título y el número de pista no se pueden editar en lote.","Vas a editar %lld canciones a la vez. Los campos que no coincidan entre todas se muestran como ""Mixto"" -- lo que escribas se aplica a las %lld. El título y el número de pista no se pueden editar en lote.",sí,
bundled-artifacts.02x,studio/AuraStudio/Sources/AuraStudio/Services/BundledArtifacts.swift,108,String(format:),%02x,%02x,no,
content-view.actualizar,studio/AuraStudio/Sources/AuraStudio/Views/ContentView.swift,168,Label,Actualizar,Actualizar,no,
content-view.aura-studio,studio/AuraStudio/Sources/AuraStudio/Views/ContentView.swift,857,Section,Aura Studio,Aura Studio,no,2
content-view.aura-studio,studio/AuraStudio/Sources/AuraStudio/Views/InstallerHomeView.swift,63,Text,Aura Studio,Aura Studio,no,2
content-view.sincronizar-con-ipod,studio/AuraStudio/Sources/AuraStudio/Views/ContentView.swift,562,Button,Sincronizar con el iPod,Sincronizar con el iPod,no,
content-view.vuelve-leer-estado-ipod-tu-biblioteca,studio/AuraStudio/Sources/AuraStudio/Views/ContentView.swift,171,.help,Vuelve a leer el estado del iPod y de tu biblioteca. No copia ni borra nada.,Vuelve a leer el estado del iPod y de tu biblioteca. No copia ni borra nada.,no,
cover-contamination-sheet.caratulas-imagenes,studio/AuraStudio/Sources/AuraStudio/Views/CoverContaminationSheet.swift,20,Text,Carátulas en Imágenes,Carátulas en Imágenes,no,
cover-contamination-sheet.cerrar,studio/AuraStudio/Sources/AuraStudio/Views/CoverContaminationSheet.swift,23,Button,Cerrar,Cerrar,no,2
cover-contamination-sheet.cerrar,studio/AuraStudio/Sources/AuraStudio/Views/ThemesView.swift,132,Button,Cerrar,Cerrar,no,2
cover-contamination-sheet.dejar-todo-como-esta,studio/AuraStudio/Sources/AuraStudio/Views/CoverContaminationSheet.swift,59,Button,Dejar todo como está,Dejar todo como está,no,
cover-contamination-sheet.estas-imagenes-entraron-imagenes-por-su,studio/AuraStudio/Sources/AuraStudio/Views/CoverContaminationSheet.swift,27,Text,"Estas imágenes entraron a Imágenes por su extensión, pero parecen carátulas de álbum (por su nombre, o porque viven junto a canciones o videos). Revísalas: las que quites dejan de ser fotos de tu biblioteca; el archivo original en tu Mac no se toca. Si dudas, déjala.","Estas imágenes entraron a Imágenes por su extensión, pero parecen carátulas de álbum (por su nombre, o porque viven junto a canciones o videos). Revísalas: las que quites dejan de ser fotos de tu biblioteca; el archivo original en tu Mac no se toca. Si dudas, déjala.",no,
cover-contamination-sheet.quitar-imagenes,studio/AuraStudio/Sources/AuraStudio/Views/CoverContaminationSheet.swift,53,Button,Quitar de Imágenes,Quitar de Imágenes,no,
cover-contamination-sheet.seleccionadas,studio/AuraStudio/Sources/AuraStudio/Views/CoverContaminationSheet.swift,64,Text,\(selection.count) de \(candidates.count) seleccionadas,%lld de %lld seleccionadas,sí,
cover-normalization-bar.caratulas-tu-biblioteca-pasan-ser-cuadra,studio/AuraStudio/Sources/AuraStudio/Views/CoverNormalizationBar.swift,23,Text,"Las carátulas de tu biblioteca pasan a ser cuadradas, como las muestra el iPod. Tus archivos originales no se tocan.","Las carátulas de tu biblioteca pasan a ser cuadradas, como las muestra el iPod. Tus archivos originales no se tocan.",no,
cover-normalization-bar.detiene-normalizacion-lo-que-ya-se,studio/AuraStudio/Sources/AuraStudio/Views/CoverNormalizationBar.swift,30,.help,Detiene la normalización. Lo que ya se hizo queda hecho y el resto sigue la próxima vez que abras la biblioteca.,Detiene la normalización. Lo que ya se hizo queda hecho y el resto sigue la próxima vez que abras la biblioteca.,no,
cover-store.02x,studio/AuraStudio/Sources/AuraStudio/Services/CoverStore.swift,42,String(format:),%02X,%02X,no,
detect-device-view.buscando-tu-ipod,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,16,Text,Buscando tu iPod...,Buscando tu iPod...,no,
detect-device-view.conecta-tu-ipod-classic-6g-este,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,75,Text,"Conecta tu iPod Classic 6G a este Mac por USB. Si iTunes/Music se abre solo, puedes cerrarlo -- no interfiere con Aura Studio.","Conecta tu iPod Classic 6G a este Mac por USB. Si iTunes/Music se abre solo, puedes cerrarlo -- no interfiere con Aura Studio.",no,
